COMP,x,y,band1,band2,band3,band4,ndvi,N_Actual,P_Actual,K_Actual
GBSM,399,813,249,419,285,3341,0.861281337,2.34,0.14,1.16
GBSM,397,815,244,412,287,3262,0.8608100399,2.29,0.13,1.15
GBSM,379,773,244,442,289,3649,0.8746468019,2.57,0.14,0.72
GBSM,379,713,248,413,285,3419,0.8647395691,2.79,0.16,1.30
GBSM,377,773,243,430,287,3489,0.8697749196,2.68,0.16,1.08
GBSM,377,714,237,407,287,3536,0.8743705274,2.47,0.16,1.18
GBSM,377,830,225,406,290,3560,0.8811096433,2.88,0.15,1.00
GBSM,375,830,220,395,285,3413,0.8788879714,2.81,0.15,0.95
GBSM,373,702,259,437,295,3229,0.8514908257,2.50,0.16,1.33
GBSM,371,702,258,436,302,3273,0.8538657604,2.75,0.17,1.07
GBSM,367,848,243,399,286,3103,0.8547519426,2.51,0.14,1.12
GBSM,359,734,319,496,318,3285,0.8229744728,2.42,0.16,1.37
GBSM,358,734,343,495,322,3246,0.8088604068,2.53,0.18,1.07
GBSM,356,697,265,469,297,3397,0.8552703441,2.41,0.16,1.21
GBSM,355,697,264,466,298,3449,0.8577969297,2.36,0.15,1.08
GBSM,348,809,229,408,283,3513,0.8776055585,2.67,0.14,0.89
GBSM,347,439,227,365,261,2808,0.8504118616,2.77,0.17,1.31
GBSM,346,810,242,420,285,3598,0.8739583333,2.32,0.16,1.30
GBSM,343,439,247,399,291,3224,0.8576779026,2.27,0.16,0.68
GBSM,322,680,261,439,289,3269,0.8521246459,2.26,0.15,1.02
GBSM,321,622,310,530,313,3164,0.8215313759,3.70,0.16,0.63
GBSM,320,636,275,468,304,3274,0.8450267681,2.33,0.15,1.04
GBSM,314,447,246,407,291,3268,0.859988617,2.76,0.17,1.18
GBSM,313,447,247,397,293,3144,0.8543202595,2.42,0.15,1.21
